k,m,d,coreset_size,time,e
20,7,25,1000,23.65749955177307,7.3949477268684225
20,7,25,5000,117.40677857398987,6.933879790893212
20,7,25,10000,233.98288917541504,6.744272483374346
20,7,25,20000,468.17079281806946,6.559849997650599
20,7,25,30000,701.0411632061005,6.454316502424356
20,7,25,40000,933.595009803772,6.380470554497325
20,7,25,50000,1167.345571756363,6.323773528085498
60,7,25,1000,23.59530019760132,7.727160955242431
60,7,25,5000,117.30899572372437,7.245379841410191
60,7,25,10000,234.0828456878662,7.047254548628863
60,7,25,20000,467.58560705184937,6.854547002397597
60,7,25,30000,700.4608936309814,6.744272483374346
60,7,25,40000,934.2352871894836,6.667109054152074
60,7,25,50000,1166.3624458312988,6.6078649506168965
100,7,25,1000,23.577691078186035,7.886674348600435
100,7,25,5000,117.27633047103882,7.3949477268684225
100,7,25,10000,233.81104397773743,7.192732492393805
100,7,25,20000,467.8742527961731,6.996046844139935
100,7,25,30000,701.4651157855988,6.883495905247575
100,7,25,40000,933.6864404678345,6.804739575280814
100,7,25,50000,1167.0512738227844,6.744272483374346
1000,7,25,1000,23.600294589996338,8.647566463322134
1000,7,25,5000,117.28779864311218,8.108398944129833
1000,7,25,10000,234.23133039474487,7.886674348600435
1000,7,25,20000,467.82384276390076,7.6710128237957775
1000,7,25,30000,700.811413526535,7.547603173344861
1000,7,25,40000,934.780980348587,7.4612485747280495
1000,7,25,50000,1166.2653884887695,7.3949477268684225
