k,m,d,coreset_size,time,e
20,7,5,1000,14.078187942504883,5.39902817836761
20,7,5,5000,68.70815896987915,3.913105827303677
20,7,5,10000,136.8162558078766,3.406556482196562
20,7,5,20000,271.40112042427063,2.96557966447628
20,7,5,30000,406.42962670326233,2.7345844707429054
20,7,5,40000,540.6155605316162,2.5816870474093565
20,7,5,50000,679.0511391162872,2.4690028614654977
60,7,5,1000,13.958050012588501,6.725736445648537
60,7,5,5000,68.55333065986633,4.8746769990619665
60,7,5,10000,136.67964434623718,4.243652807420054
60,7,5,20000,272.17689037323,3.694314341932707
60,7,5,30000,408.32883167266846,3.406556482196562
60,7,5,40000,543.0218749046326,3.2160874313624683
60,7,5,50000,676.9091982841492,3.0757132545268155
100,7,5,1000,13.943719625473022,7.4491993207587015
100,7,5,5000,68.56712126731873,5.39902817836761
100,7,5,10000,136.72010207176208,4.700127021929569
100,7,5,20000,271.70075845718384,4.091698226504121
100,7,5,30000,407.5602557659149,3.7729873060552044
100,7,5,40000,542.0190019607544,3.5620301959209146
100,7,5,50000,677.5899214744568,3.406556482196562
1000,7,5,1000,13.919814825057983,11.806185292756417
1000,7,5,5000,68.89625287055969,8.55688300580055
1000,7,5,10000,136.53133273124695,7.4491993207587015
1000,7,5,20000,272.14405965805054,6.484904664791593
1000,7,5,30000,408.3401143550873,5.979781896609089
1000,7,5,40000,542.4227871894836,5.645437408855984
1000,7,5,50000,676.276093006134,5.39902817836761
