dataset,group,m,k,algorithm,param_eps,div,num_elem,time1,time2,time3
adult,Sex,2,10,FairSwap,0.05,6.131129085754383,-,-,-,2.9493734610994577
adult,Sex,2,10,FairFlow,0.05,5.437468765789341,-,-,-,2.6592952551000053
adult,Sex,2,10,scalable_fmmd_ILP,0.05,6.784105118543737,-,-,-,4.594955592598126
Adult,Sex,2,10,Alg1,0.05,5.968573000368151,61.9,0.0,3.3810294975031865,3.3810294975031865
Adult,Sex,2,10,Alg2,0.05,5.828038260957053,91.8,0.0,5.158030864903412,5.158030864903412
Adult,Sex,2,10,FairGreedyFlow,0.05,2.877479626653992,-,-,-,46.94780782569578
adult,Sex,2,20,FairSwap,0.05,4.667805053859629,-,-,-,5.840582329499012
adult,Sex,2,20,FairFlow,0.05,3.403803598616552,-,-,-,5.547115151597245
adult,Sex,2,20,scalable_fmmd_ILP,0.05,5.023326731272119,-,-,-,9.70545149570098
Adult,Sex,2,20,Alg1,0.05,4.012021949092915,126.3,0.0,3.6810249654998186,3.6810249654998186
Adult,Sex,2,20,Alg2,0.05,4.386655083015091,185.1,0.0,5.627448717800144,5.627448717800144
Adult,Sex,2,20,FairGreedyFlow,0.05,2.0719824695316738,-,-,-,50.19103265650192
adult,Sex,2,30,FairSwap,0.05,3.7138636896582993,-,-,-,8.68085673530004
adult,Sex,2,30,FairFlow,0.05,2.780998403072064,-,-,-,8.27062853530224
adult,Sex,2,30,scalable_fmmd_ILP,0.05,4.3516543962713445,-,-,-,14.477333981299306
Adult,Sex,2,30,Alg1,0.05,3.442480083907436,194.8,0.0,4.6407151875973796,4.6407151875973796
Adult,Sex,2,30,Alg2,0.05,3.7768314792548985,281.3,0.0,7.179585941498226,7.179585941498226
Adult,Sex,2,30,FairGreedyFlow,0.05,1.8156748344978357,-,-,-,52.148477648096744
adult,Sex,2,40,FairSwap,0.05,3.1251176305106743,-,-,-,11.491431722498964
