k,required_points,returned points,miss%,color
28,2,2,0.0,0
28,2,2,0.0,1
28,2,2,0.0,10
28,2,2,0.0,11
28,2,2,0.0,12
28,2,2,0.0,13
28,2,2,0.0,2
28,2,2,0.0,3
28,2,2,0.0,4
28,2,2,0.0,5
28,2,2,0.0,6
28,2,2,0.0,7
28,2,2,0.0,8
28,2,2,0.0,9
42,3,3,0.0,0
42,3,3,0.0,1
42,3,3,0.0,10
42,3,3,0.0,11
42,3,3,0.0,12
42,3,3,0.0,13
42,3,3,0.0,2
42,3,3,0.0,3
42,3,3,0.0,4
42,3,3,0.0,5
42,3,3,0.0,6
42,3,3,0.0,7
42,3,3,0.0,8
42,3,3,0.0,9
70,5,5,0.0,0
70,5,5,0.0,1
70,5,5,0.0,10
70,5,5,0.0,11
70,5,5,0.0,12
70,5,5,0.0,13
70,5,5,0.0,2
70,5,5,0.0,3
70,5,5,0.0,4
70,5,5,0.0,5
70,5,5,0.0,6
70,5,5,0.0,7
70,5,5,0.0,8
70,5,5,0.0,9
84,6,6,0.0,0
84,6,6,0.0,1
84,6,6,0.0,10
84,6,6,0.0,11
84,6,6,0.0,12
84,6,6,0.0,13
84,6,6,0.0,2
84,6,6,0.0,3
84,6,6,0.0,4
84,6,6,0.0,5
84,6,6,0.0,6
84,6,6,0.0,7
84,6,6,0.0,8
84,6,6,0.0,9
112,8,8,0.0,0
112,8,8,0.0,1
112,8,8,0.0,10
112,8,8,0.0,11
112,8,8,0.0,12
112,8,8,0.0,13
112,8,8,0.0,2
112,8,8,0.0,3
112,8,8,0.0,4
112,8,8,0.0,5
112,8,8,0.0,6
112,8,8,0.0,7
112,8,8,0.0,8
112,8,8,0.0,9
