k,required_points,returned points,miss%,color
28,2,2,0.0,0
28,2,2,0.0,1
28,2,2,0.0,10
28,2,2,0.0,11
28,2,2,0.0,12
28,2,2,0.0,13
28,2,2,0.0,2
28,2,2,0.0,3
28,2,2,0.0,4
28,2,2,0.0,5
28,2,2,0.0,6
28,2,2,0.0,7
28,2,1,50.0,8
28,2,1,50.0,9
56,4,4,0.0,0
56,4,4,0.0,1
56,4,4,0.0,10
56,4,4,0.0,11
56,4,4,0.0,12
56,4,4,0.0,13
56,4,3,25.0,2
56,4,4,0.0,3
56,4,4,0.0,4
56,4,4,0.0,5
56,4,4,0.0,6
56,4,4,0.0,7
56,4,4,0.0,8
56,4,4,0.0,9
84,6,6,0.0,0
84,6,6,0.0,1
84,6,6,0.0,10
84,6,6,0.0,11
84,6,6,0.0,12
84,6,6,0.0,13
84,6,6,0.0,2
84,6,5,16.666666666666668,3
84,6,5,16.666666666666668,4
84,6,6,0.0,5
84,6,6,0.0,6
84,6,6,0.0,7
84,6,6,0.0,8
84,6,6,0.0,9
112,8,5,37.5,0
112,8,8,0.0,1
112,8,6,25.0,10
112,8,8,0.0,11
112,8,8,0.0,12
112,8,8,0.0,13
112,8,8,0.0,2
112,8,8,0.0,3
112,8,8,0.0,4
112,8,8,0.0,5
112,8,8,0.0,6
112,8,8,0.0,7
112,8,8,0.0,8
112,8,8,0.0,9
