k,required_points,returned points,miss%,color
26,1,1,0.0,Amer-Indian-Eskimo_Female
26,1,1,0.0,Amer-Indian-Eskimo_Male
26,1,1,0.0,Asian-Pac-Islander_Female
26,1,1,0.0,Asian-Pac-Islander_Male
26,1,1,0.0,Black_Female
26,1,1,0.0,Black_Male
26,1,1,0.0,Other_Female
26,1,1,0.0,Other_Male
26,6,6,0.0,White_Female
26,12,12,0.0,White_Male
45,1,1,0.0,Amer-Indian-Eskimo_Female
45,1,1,0.0,Amer-Indian-Eskimo_Male
45,1,1,0.0,Asian-Pac-Islander_Female
45,1,1,0.0,Asian-Pac-Islander_Male
45,2,2,0.0,Black_Female
45,2,2,0.0,Black_Male
45,1,1,0.0,Other_Female
45,1,1,0.0,Other_Male
45,11,11,0.0,White_Female
45,24,20,16.666666666666668,White_Male
65,1,1,0.0,Amer-Indian-Eskimo_Female
65,1,1,0.0,Amer-Indian-Eskimo_Male
65,1,1,0.0,Asian-Pac-Islander_Female
65,2,2,0.0,Asian-Pac-Islander_Male
65,3,3,0.0,Black_Female
65,3,3,0.0,Black_Male
65,1,1,0.0,Other_Female
65,1,1,0.0,Other_Male
65,16,16,0.0,White_Female
65,36,32,11.11111111111111,White_Male
85,1,1,0.0,Amer-Indian-Eskimo_Female
85,1,1,0.0,Amer-Indian-Eskimo_Male
85,1,1,0.0,Asian-Pac-Islander_Female
85,2,2,0.0,Asian-Pac-Islander_Male
85,4,4,0.0,Black_Female
85,4,4,0.0,Black_Male
85,1,1,0.0,Other_Female
85,1,1,0.0,Other_Male
85,22,22,0.0,White_Female
85,48,41,14.583333333333334,White_Male
105,1,1,0.0,Amer-Indian-Eskimo_Female
105,1,1,0.0,Amer-Indian-Eskimo_Male
105,2,2,0.0,Asian-Pac-Islander_Female
105,3,3,0.0,Asian-Pac-Islander_Male
105,5,5,0.0,Black_Female
105,5,5,0.0,Black_Male
105,1,1,0.0,Other_Female
105,1,1,0.0,Other_Male
105,27,27,0.0,White_Female
105,59,59,0.0,White_Male
