k,required_points,returned points,miss%,color
27,2,2,0.0,0
27,2,2,0.0,1
27,2,2,0.0,10
27,2,2,0.0,11
27,2,2,0.0,12
27,2,2,0.0,13
27,2,1,50.0,2
27,2,2,0.0,3
27,2,2,0.0,4
27,2,2,0.0,5
27,2,2,0.0,6
27,2,2,0.0,7
27,1,0,100.0,8
27,2,2,0.0,9
48,4,3,25.0,0
48,3,3,0.0,1
48,4,4,0.0,10
48,3,3,0.0,11
48,3,3,0.0,12
48,4,4,0.0,13
48,4,4,0.0,2
48,4,3,25.0,3
48,3,3,0.0,4
48,3,3,0.0,5
48,3,3,0.0,6
48,4,4,0.0,7
48,2,2,0.0,8
48,4,4,0.0,9
66,6,6,0.0,0
66,4,4,0.0,1
66,6,6,0.0,10
66,4,4,0.0,11
66,5,5,0.0,12
66,5,5,0.0,13
66,5,5,0.0,2
66,5,5,0.0,3
66,4,4,0.0,4
66,4,4,0.0,5
66,4,4,0.0,6
66,6,6,0.0,7
66,3,3,0.0,8
66,5,5,0.0,9
89,8,8,0.0,0
89,5,5,0.0,1
89,7,4,42.857142857142854,10
89,6,6,0.0,11
89,6,6,0.0,12
89,7,7,0.0,13
89,7,7,0.0,2
89,7,7,0.0,3
89,6,6,0.0,4
89,6,6,0.0,5
89,5,5,0.0,6
89,8,8,0.0,7
89,4,4,0.0,8
89,7,7,0.0,9
107,10,8,20.0,0
107,6,6,0.0,1
107,9,9,0.0,10
107,7,7,0.0,11
107,8,8,0.0,12
107,8,8,0.0,13
107,8,8,0.0,2
107,9,9,0.0,3
107,7,7,0.0,4
107,7,7,0.0,5
107,6,6,0.0,6
107,9,9,0.0,7
107,5,5,0.0,8
107,8,8,0.0,9
