k,required_points,returned points,miss%,color
23,1,1,0.0,American Indian/Alaska Native
23,2,2,0.0,Asian
23,4,4,0.0,Black/African American
23,1,1,0.0,Native Hawaiian/Other Pacific Islander
23,15,15,0.0,White
42,1,1,0.0,American Indian/Alaska Native
42,3,3,0.0,Asian
42,7,7,0.0,Black/African American
42,1,1,0.0,Native Hawaiian/Other Pacific Islander
42,30,29,3.3333333333333335,White
63,1,1,0.0,American Indian/Alaska Native
63,5,5,0.0,Asian
63,11,11,0.0,Black/African American
63,1,1,0.0,Native Hawaiian/Other Pacific Islander
63,45,45,0.0,White
82,1,1,0.0,American Indian/Alaska Native
82,6,6,0.0,Asian
82,14,14,0.0,Black/African American
82,1,1,0.0,Native Hawaiian/Other Pacific Islander
82,60,60,0.0,White
103,1,1,0.0,American Indian/Alaska Native
103,8,8,0.0,Asian
103,18,18,0.0,Black/African American
103,1,1,0.0,Native Hawaiian/Other Pacific Islander
103,75,75,0.0,White
