k,required_points,returned points,miss%,color
24,1,1,0.0,Amer-Indian-Eskimo_Female
24,1,1,0.0,Amer-Indian-Eskimo_Male
24,1,1,0.0,Asian-Pac-Islander_Female
24,1,1,0.0,Asian-Pac-Islander_Male
24,1,1,0.0,Black_Female
24,1,1,0.0,Black_Male
24,1,1,0.0,Other_Female
24,1,1,0.0,Other_Male
24,5,4,20.0,White_Female
24,11,11,0.0,White_Male
42,1,1,0.0,Amer-Indian-Eskimo_Female
42,1,1,0.0,Amer-Indian-Eskimo_Male
42,1,1,0.0,Asian-Pac-Islander_Female
42,1,1,0.0,Asian-Pac-Islander_Male
42,2,2,0.0,Black_Female
42,2,2,0.0,Black_Male
42,1,1,0.0,Other_Female
42,1,1,0.0,Other_Male
42,10,10,0.0,White_Female
42,22,16,27.272727272727273,White_Male
60,1,1,0.0,Amer-Indian-Eskimo_Female
60,1,1,0.0,Amer-Indian-Eskimo_Male
60,1,1,0.0,Asian-Pac-Islander_Female
60,2,2,0.0,Asian-Pac-Islander_Male
60,3,3,0.0,Black_Female
60,3,3,0.0,Black_Male
60,1,1,0.0,Other_Female
60,1,1,0.0,Other_Male
60,15,15,0.0,White_Female
60,32,23,28.125,White_Male
78,1,1,0.0,Amer-Indian-Eskimo_Female
78,1,1,0.0,Amer-Indian-Eskimo_Male
78,1,1,0.0,Asian-Pac-Islander_Female
78,2,2,0.0,Asian-Pac-Islander_Male
78,4,4,0.0,Black_Female
78,4,4,0.0,Black_Male
78,1,1,0.0,Other_Female
78,1,1,0.0,Other_Male
78,20,20,0.0,White_Female
78,43,43,0.0,White_Male
94,1,1,0.0,Amer-Indian-Eskimo_Female
94,1,1,0.0,Amer-Indian-Eskimo_Male
94,1,1,0.0,Asian-Pac-Islander_Female
94,2,2,0.0,Asian-Pac-Islander_Male
94,5,5,0.0,Black_Female
94,5,5,0.0,Black_Male
94,1,1,0.0,Other_Female
94,1,1,0.0,Other_Male
94,24,24,0.0,White_Female
94,53,53,0.0,White_Male
