k,required_points,returned points,miss%,color
25,2,2,0.0,0
25,1,1,0.0,1
25,2,2,0.0,10
25,2,2,0.0,11
25,2,2,0.0,12
25,2,2,0.0,13
25,2,2,0.0,2
25,2,2,0.0,3
25,2,2,0.0,4
25,2,2,0.0,5
25,1,1,0.0,6
25,2,2,0.0,7
25,1,1,0.0,8
25,2,2,0.0,9
42,4,4,0.0,0
42,2,2,0.0,1
42,4,4,0.0,10
42,3,3,0.0,11
42,3,3,0.0,12
42,3,3,0.0,13
42,3,3,0.0,2
42,3,3,0.0,3
42,3,1,66.66666666666667,4
42,3,3,0.0,5
42,2,2,0.0,6
42,4,4,0.0,7
42,2,2,0.0,8
42,3,3,0.0,9
61,6,4,33.333333333333336,0
61,3,3,0.0,1
61,5,5,0.0,10
61,4,4,0.0,11
61,4,4,0.0,12
61,5,5,0.0,13
61,5,5,0.0,2
61,5,5,0.0,3
61,4,4,0.0,4
61,4,4,0.0,5
61,3,3,0.0,6
61,5,5,0.0,7
61,3,3,0.0,8
61,5,5,0.0,9
78,7,7,0.0,0
78,4,4,0.0,1
78,7,7,0.0,10
78,5,5,0.0,11
78,6,6,0.0,12
78,6,6,0.0,13
78,6,6,0.0,2
78,6,6,0.0,3
78,5,5,0.0,4
78,5,5,0.0,5
78,4,4,0.0,6
78,7,7,0.0,7
78,4,4,0.0,8
78,6,6,0.0,9
95,9,9,0.0,0
95,5,5,0.0,1
95,8,8,0.0,10
95,6,6,0.0,11
95,7,7,0.0,12
95,8,8,0.0,13
95,7,7,0.0,2
95,8,8,0.0,3
95,6,6,0.0,4
95,6,6,0.0,5
95,5,5,0.0,6
95,8,8,0.0,7
95,5,5,0.0,8
95,7,7,0.0,9
