k,required_points,returned points,miss%,color
20,3,3,0.0,Female_No
20,8,8,0.0,Female_Yes
20,2,2,0.0,Male_No
20,7,6,14.285714285714286,Male_Yes
37,5,5,0.0,Female_No
37,15,12,20.0,Female_Yes
37,4,4,0.0,Male_No
37,13,13,0.0,Male_Yes
56,7,7,0.0,Female_No
56,23,22,4.3478260869565215,Female_Yes
56,6,6,0.0,Male_No
56,20,19,5.0,Male_Yes
74,10,10,0.0,Female_No
74,30,30,0.0,Female_Yes
74,8,8,0.0,Male_No
74,26,26,0.0,Male_Yes
92,12,12,0.0,Female_No
92,37,37,0.0,Female_Yes
92,10,10,0.0,Male_No
92,33,33,0.0,Male_Yes
