k,required_points,returned points,miss%,color
22,1,1,0.0,American Indian/Alaska Native
22,2,2,0.0,Asian
22,4,4,0.0,Black/African American
22,1,1,0.0,Native Hawaiian/Other Pacific Islander
22,14,11,21.428571428571427,White
39,1,0,100.0,American Indian/Alaska Native
39,3,3,0.0,Asian
39,7,7,0.0,Black/African American
39,1,1,0.0,Native Hawaiian/Other Pacific Islander
39,27,25,7.407407407407407,White
57,1,1,0.0,American Indian/Alaska Native
57,4,4,0.0,Asian
57,10,10,0.0,Black/African American
57,1,1,0.0,Native Hawaiian/Other Pacific Islander
57,41,37,9.75609756097561,White
75,1,1,0.0,American Indian/Alaska Native
75,6,6,0.0,Asian
75,13,13,0.0,Black/African American
75,1,1,0.0,Native Hawaiian/Other Pacific Islander
75,54,54,0.0,White
93,1,1,0.0,American Indian/Alaska Native
93,7,7,0.0,Asian
93,16,16,0.0,Black/African American
93,1,1,0.0,Native Hawaiian/Other Pacific Islander
93,68,68,0.0,White
