dataset,group,m,k,algorithm,param_eps,div,num_elem,time1,time2,time3
Census_small,Sex,2,5,fmmd_ILP,1,45.0,-,-,-,420.79765182700066
Census_small,Sex,2,5,FairFlow,0.05,21.6,-,-,-,0.027473596197523875
Census_small,Sex,2,5,scalable_fmmd_ILP,0.05,38.1,-,-,-,0.047618715799762866
Census_small,Sex,2,5,FairSwap,0.05,34.9,-,-,-,0.02899211650073994
Census_small,Sex,2,5,Alg1,0.05,33.3,23.5,0.0,0.06621204030016088,0.06621204030016088
Census_small,Sex,2,5,Alg2,0.05,33.5,35.4,0.0,0.11187512020114809,0.11187512020114809
Census_small,Sex,2,5,FairGreedyFlow,0.05,20.7,-,-,-,0.06457106180023402
Census_small,Sex,2,10,fmmd_ILP,1,34.0,-,-,-,990.0145243340012
Census_small,Sex,2,10,FairFlow,0.05,15.8,-,-,-,0.08369844799963175
Census_small,Sex,2,10,scalable_fmmd_ILP,0.05,30.3,-,-,-,0.16192393009987427
Census_small,Sex,2,10,FairSwap,0.05,28.4,-,-,-,0.08313794050118303
Census_small,Sex,2,10,Alg1,0.05,27.2,47.3,0.0,0.1484437317994889,0.1484437317994889
Census_small,Sex,2,10,Alg2,0.05,28.0,71.9,0.0,0.2530561052990379,0.2530561052990379
Census_small,Sex,2,10,FairGreedyFlow,0.05,14.3,-,-,-,0.16457271249964833
Census_small,Sex,2,15,fmmd_ILP,1,30.0,-,-,-,1800.8262002430056
Census_small,Sex,2,15,FairFlow,0.05,15.8,-,-,-,0.13127785220058286
Census_small,Sex,2,15,scalable_fmmd_ILP,0.05,26.8,-,-,-,0.22431308619998164
Census_small,Sex,2,15,FairSwap,0.05,24.2,-,-,-,0.13618337549924037
Census_small,Sex,2,15,Alg1,0.05,23.1,67.3,0.0,0.1922804295005335,0.1922804295005335
Census_small,Sex,2,15,Alg2,0.05,24.0,99.6,0.0,0.3821545151004102,0.3821545151004102
Census_small,Sex,2,15,FairGreedyFlow,0.05,11.9,-,-,-,0.25950080240072565
Census_small,Sex,2,20,fmmd_ILP,1,28.0,-,-,-,1847.9079297600038
Census_small,Sex,2,20,FairFlow,0.05,16.4,-,-,-,0.17783264280078584
Census_small,Sex,2,20,scalable_fmmd_ILP,0.05,24.3,-,-,-,0.2930295833008131
Census_small,Sex,2,20,FairSwap,0.05,22.2,-,-,-,0.17634550960210618
Census_small,Sex,2,20,Alg1,0.05,21.9,88.9,0.0,0.2570892550997087,0.2570892550997087
Census_small,Sex,2,20,Alg2,0.05,21.5,126.0,0.0,0.5426577928003098,0.5426577928003098
Census_small,Sex,2,20,FairGreedyFlow,0.05,10.5,-,-,-,0.3582465339015471
Census_small,Sex,2,25,fmmd_ILP,1,25.0,-,-,-,2381.776472231999
Census_small,Sex,2,25,FairFlow,0.05,12.8,-,-,-,0.22355154440010666
Census_small,Sex,2,25,scalable_fmmd_ILP,0.05,22.4,-,-,-,0.38188499529933323
Census_small,Sex,2,25,FairSwap,0.05,19.0,-,-,-,0.22668253259980703
Census_small,Sex,2,25,Alg1,0.05,20.3,109.0,0.0,0.3641565253004956,0.3641565253004956
Census_small,Sex,2,25,Alg2,0.05,20.7,149.3,0.0,0.7486100916001306,0.7486100916001306
Census_small,Sex,2,25,FairGreedyFlow,0.05,10.1,-,-,-,0.45726038829961907
Census_small,Sex,2,30,fmmd_ILP,1,24.0,-,-,-,1276.9533351650025
Census_small,Sex,2,30,FairFlow,0.05,13.0,-,-,-,0.27141108580035506
Census_small,Sex,2,30,scalable_fmmd_ILP,0.05,21.2,-,-,-,0.43075807010027345
Census_small,Sex,2,30,FairSwap,0.05,18.6,-,-,-,0.26865231660049177
Census_small,Sex,2,30,Alg1,0.05,18.1,119.5,0.0,0.4499282013013726,0.4499282013013726
Census_small,Sex,2,30,Alg2,0.05,18.8,169.4,0.0,0.9764908004013705,0.9764908004013705
Census_small,Sex,2,30,FairGreedyFlow,0.05,9.2,-,-,-,0.5345310406002681
Census_small,Sex,2,35,fmmd_ILP,1,23.0,-,-,-,2441.593940592
Census_small,Sex,2,35,FairFlow,0.05,12.0,-,-,-,0.3249022227013484
Census_small,Sex,2,35,scalable_fmmd_ILP,0.05,20.6,-,-,-,0.438663145701139
Census_small,Sex,2,35,FairSwap,0.05,18.1,-,-,-,0.31849155680029073
Census_small,Sex,2,35,Alg1,0.05,17.5,143.9,0.0,0.514532061299542,0.514532061299542
Census_small,Sex,2,35,Alg2,0.05,17.9,197.2,0.0,1.1361357431014767,1.1361357431014767
Census_small,Sex,2,35,FairGreedyFlow,0.05,9.1,-,-,-,0.6265164896009082
Census_small,Sex,2,40,fmmd_ILP,1,22.0,-,-,-,2063.6177450510004
Census_small,Sex,2,40,FairFlow,0.05,11.5,-,-,-,0.38627874110025007
Census_small,Sex,2,40,scalable_fmmd_ILP,0.05,19.4,-,-,-,0.6307183778997569
Census_small,Sex,2,40,FairSwap,0.05,17.0,-,-,-,0.3754726311999548
Census_small,Sex,2,40,Alg1,0.05,16.3,155.5,0.0,0.6432174357003533,0.6432174357003533
Census_small,Sex,2,40,Alg2,0.05,16.9,211.5,0.0,1.546395997399668,1.546395997399668
Census_small,Sex,2,40,FairGreedyFlow,0.05,9.0,-,-,-,0.7346228358997905
Census_small,Sex,2,45,fmmd_ILP,1,21.0,-,-,-,971.2074710130037
Census_small,Sex,2,45,FairFlow,0.05,11.8,-,-,-,0.44896796610046297
Census_small,Sex,2,45,scalable_fmmd_ILP,0.05,19.0,-,-,-,0.5766487302993483
Census_small,Sex,2,45,FairSwap,0.05,16.9,-,-,-,0.42565910749908653
Census_small,Sex,2,45,Alg1,0.05,16.1,172.3,0.0,0.7391361113004677,0.7391361113004677
Census_small,Sex,2,45,Alg2,0.05,16.6,231.7,0.0,1.8348568064000574,1.8348568064000574
Census_small,Sex,2,45,FairGreedyFlow,0.05,8.1,-,-,-,0.8960574305005139
Census_small,Sex,2,50,fmmd_ILP,1,20.0,-,-,-,827.4647008399988
Census_small,Sex,2,50,FairFlow,0.05,10.8,-,-,-,0.5172313979986939
Census_small,Sex,2,50,scalable_fmmd_ILP,0.05,18.5,-,-,-,0.7477965148005751
Census_small,Sex,2,50,FairSwap,0.05,15.7,-,-,-,0.4906163490988547
Census_small,Sex,2,50,Alg1,0.05,15.3,182.6,0.0,0.9284250006006914,0.9284250006006914
Census_small,Sex,2,50,Alg2,0.05,15.5,245.0,0.0,2.2571056013999624,2.2571056013999624
Census_small,Sex,2,50,FairGreedyFlow,0.05,8.0,-,-,-,0.9829366408011992
