dataset,group,m,k,algorithm,param_eps,div,num_elem,time1,time2,time3
Census,Sex,2,10,FairSwap,0.05,32.3,-,-,-,151.2164767355993
Census,Sex,2,10,FairFlow,0.05,23.7,-,-,-,131.315623962698
Census,Sex,2,10,scalable_fmmd_ILP,0.05,40.5,-,-,-,296.59119604189834
Census,Sex,2,10,Alg1,0.05,32.5,99.9,0.0,127.55925987380033,127.55925987380033
Census,Sex,2,10,Alg2,0.05,36.0,156.0,0.0,181.32291532770176,181.32291532770176
Census,Sex,2,20,FairSwap,0.05,27.2,-,-,-,300.42862111280044
Census,Sex,2,20,FairFlow,0.05,19.6,-,-,-,258.866530233698
Census,Sex,2,20,scalable_fmmd_ILP,0.05,34.5,-,-,-,590.4881058726991
Census,Sex,2,20,Alg1,0.05,27.7,215.4,0.0,142.76972174789915,142.76972174789915
Census,Sex,2,20,Alg2,0.05,30.4,331.3,0.0,203.19212424979924,203.19212424979924
