g, 0, 49
r, 1, 2
g, 38, 49
b, 19, 26
r, 26, 0
b, 0, 22
g, 49, 33
r, 19, 48
b, 32, 17
b, 33, 34
r, 14, 10
r, 8, 36
r, 40, 0
b, 43, 23
b, 49, 48
r, 23, 38
g, 3, 12
g, 11, 0
r, 10, 21
r, 22, 16
r, 9, 46
b, 41, 40
b, 29, 45
r, 34, 7
r, 49, 0
r, 0, 32
r, 29, 25
b, 1, 40
g, 15, 40
r, 22, 7
g, 39, 13
b, 11, 29
b, 40, 30
r, 25, 31
b, 28, 11
g, 49, 19
b, 18, 0
g, 33, 0
r, 36, 23
b, 49, 41
b, 49, 26
g, 5, 26
g, 7, 5
b, 18, 34
r, 43, 7
g, 17, 20
r, 34, 40
b, 43, 46
b, 4, 18
g, 13, 16
g, 8, 14
b, 24, 21
g, 28, 5
r, 34, 28
g, 6, 41
r, 13, 5
r, 13, 35
g, 14, 45
b, 24, 43
g, 28, 39
g, 38, 18
b, 4, 46
g, 5, 32
r, 6, 0
r, 18, 13
r, 19, 43
b, 26, 49
g, 33, 49
g, 38, 44
r, 40, 35
r, 45, 29
b, 49, 5
g, 9, 9
g, 15, 24
b, 16, 30
g, 28, 19
b, 38, 5
r, 43, 15
r, 44, 2
r, 0, 9
g, 0, 15
g, 11, 42
g, 17, 7
r, 28, 34
g, 44, 37
r, 0, 44
g, 1, 27
r, 4, 8
b, 21, 30
b, 22, 1
r, 23, 12
b, 23, 25
g, 32, 12
r, 32, 22
g, 34, 45
b, 39, 26
b, 42, 19
r, 5, 22
g, 10, 25
b, 22, 34
g, 29, 29
r, 39, 9
r, 44, 33
b, 49, 37
r, 2, 35
b, 8, 18
g, 11, 38
b, 11, 49
r, 26, 16
g, 30, 8
b, 32, 4
r, 36, 11
g, 36, 31
r, 37, 38
g, 42, 11
g, 46, 21
g, 46, 44
b, 47, 8
b, 49, 15
b, 3, 43
r, 4, 3
b, 5, 15
b, 6, 29
b, 9, 33
g, 10, 3
g, 14, 21
b, 16, 49
b, 17, 3
g, 20, 21
b, 23, 4
g, 23, 46
r, 25, 8
r, 26, 28
g, 30, 42
b, 32, 37
g, 35, 16
r, 35, 20
r, 37, 1
g, 37, 34
g, 39, 22
r, 41, 3
g, 42, 43
g, 42, 49
b, 44, 26
r, 46, 16
r, 46, 40
r, 0, 6
b, 5, 35
g, 16, 27
b, 17, 17
g, 18, 10
g, 18, 37
b, 18, 40
g, 23, 49
g, 26, 25
r, 26, 46
g, 28, 22
r, 29, 48
b, 32, 25
r, 35, 4
g, 37, 41
b, 46, 5
g, 46, 47
g, 49, 22
g, 49, 29
r, 49, 44
b, 0, 37
r, 2, 20
g, 2, 24
b, 2, 30
g, 3, 0
g, 3, 38
g, 7, 24
b, 8, 39
b, 8, 43
g, 11, 7
r, 12, 19
b, 12, 23
g, 14, 32
g, 15, 37
r, 17, 45
b, 21, 40
g, 22, 19
b, 23, 28
g, 26, 3
g, 26, 41
r, 32, 30
b, 35, 36
b, 36, 47
r, 40, 47
g, 42, 28
r, 45, 10
b, 46, 0
r, 47, 35
r, 1, 17
g, 1, 46
b, 2, 4
r, 2, 48
r, 3, 28
b, 5, 6
r, 5, 10
b, 5, 39
b, 5, 44
b, 6, 17
b, 7, 27
b, 8, 48
g, 9, 6
b, 9, 41
g, 10, 11
r, 10, 17
b, 12, 26
b, 12, 44
b, 13, 1
r, 14, 3
b, 14, 42
r, 14, 48
b, 17, 23
b, 19, 8
g, 19, 16
r, 20, 2
b, 20, 28
r, 20, 36
g, 21, 13
b, 21, 44
r, 22, 22
r, 22, 42
g, 24, 17
g, 25, 11
r, 25, 14
g, 26, 33
b, 26, 38
g, 27, 7
r, 27, 30
r, 27, 36
b, 27, 44
g, 28, 2
r, 29, 13
g, 30, 20
r, 30, 23
r, 30, 31
r, 30, 36
b, 31, 2
g, 31, 10
b, 31, 27
g, 31, 44
b, 32, 41
r, 32, 46
b, 33, 15
r, 34, 18
r, 34, 32
r, 36, 14
g, 37, 7
g, 37, 21
r, 38, 15
g, 39, 2
b, 39, 37
r, 40, 7
r, 40, 17
r, 40, 24
b, 42, 36
g, 43, 0
g, 43, 4
r, 43, 31
g, 45, 13
b, 46, 27
g, 47, 3
g, 47, 42
g, 47, 49
b, 48, 46
b, 0, 4
r, 0, 35
b, 1, 12
g, 1, 42
r, 2, 6
b, 2, 8
b, 2, 22
g, 3, 32
g, 4, 24
b, 4, 48
g, 5, 20
r, 6, 2
b, 6, 8
b, 6, 46
b, 8, 3
b, 10, 19
r, 10, 23
g, 10, 36
g, 11, 5
b, 11, 31
b, 12, 3
g, 12, 11
r, 13, 7
b, 13, 38
b, 13, 40
r, 15, 5
g, 15, 35
r, 16, 0
g, 16, 10
r, 16, 13
b, 16, 32
g, 16, 47
b, 17, 25
r, 18, 30
g, 19, 45
r, 20, 38
g, 21, 25
g, 21, 46
b, 22, 32
r, 22, 36
g, 23, 10
g, 23, 14
r, 24, 0
g, 24, 19
b, 25, 6
r, 26, 22
g, 27, 9
b, 27, 14
r, 28, 32
b, 28, 41
r, 30, 33
b, 31, 48
g, 32, 8
r, 32, 19
r, 34, 11
r, 34, 23
b, 34, 43
b, 35, 0
b, 35, 2
b, 35, 34
g, 36, 9
r, 36, 44
g, 36, 49
g, 37, 3
b, 37, 26
g, 38, 31
b, 38, 47
r, 40, 15
r, 40, 44
b, 41, 5
g, 42, 9
b, 42, 21
g, 42, 33
r, 42, 38
r, 45, 23
b, 46, 18
b, 47, 33
r, 49, 13
g, 49, 17
g, 49, 31
g, 0, 28
r, 0, 41
g, 1, 25
r, 2, 11
r, 2, 18
b, 2, 44
