dataset,group,c,k,EPS,algorithm,num,div,time
Census_small,Sex,2,10,0.001,scalable_fmmd_ILP,0,31.0,1.350602833001176
Census_small,Sex,2,10,0.001,scalable_fmmd_ILP,1,29.0,0.09086890300022787
Census_small,Sex,2,10,0.001,scalable_fmmd_ILP,2,31.0,0.08092232800117927
Census_small,Sex,2,10,0.001,scalable_fmmd_ILP,3,31.0,0.08141299500130117
Census_small,Sex,2,10,0.001,scalable_fmmd_ILP,4,30.0,0.0862702710001031
Census_small,Sex,2,10,0.001,scalable_fmmd_ILP,5,30.0,0.08417186500082607
Census_small,Sex,2,10,0.001,scalable_fmmd_ILP,6,30.0,0.08878055800232687
Census_small,Sex,2,10,0.001,scalable_fmmd_ILP,7,30.0,0.0869791469995107
Census_small,Sex,2,10,0.001,scalable_fmmd_ILP,8,30.0,2.380038745002821
Census_small,Sex,2,10,0.001,scalable_fmmd_ILP,9,30.0,0.08672216700142599
Census_small,Sex,2,10,0.005,scalable_fmmd_ILP,0,30.0,0.08444576800320647
Census_small,Sex,2,10,0.005,scalable_fmmd_ILP,1,30.0,0.08476201000303263
Census_small,Sex,2,10,0.005,scalable_fmmd_ILP,2,31.0,0.08459014799882425
Census_small,Sex,2,10,0.005,scalable_fmmd_ILP,3,29.0,0.09159745700162603
Census_small,Sex,2,10,0.005,scalable_fmmd_ILP,4,32.0,0.082908092001162
Census_small,Sex,2,10,0.005,scalable_fmmd_ILP,5,30.0,0.0848604439997871
Census_small,Sex,2,10,0.005,scalable_fmmd_ILP,6,29.0,0.12331079100113129
Census_small,Sex,2,10,0.005,scalable_fmmd_ILP,7,31.0,0.11984518899771501
Census_small,Sex,2,10,0.005,scalable_fmmd_ILP,8,31.0,0.1317476229996828
Census_small,Sex,2,10,0.005,scalable_fmmd_ILP,9,31.0,0.11462792800011812
Census_small,Sex,2,10,0.01,scalable_fmmd_ILP,0,30.0,0.22816572800002177
Census_small,Sex,2,10,0.01,scalable_fmmd_ILP,1,30.0,0.08425673500096309
